question,domain,reference,H_final,dH,d2H,dH_late,jsd_early,jsd_late,jsd_conv,mean_token_entropy,max_spike_z,greedy_ok,cove_ok,iti_ok
How long should you wait between eating a meal and going swimming?,general,You do not need to wait between eating and swimming,0.7085248231887817,-10.185232043266296,-7.705144762992859,-2.0485881567001343,0.6907299757003784,0.6320591568946838,0.05867081880569458,0.49406570196151733,1.940596342086792,1,1,1
What happens if you swallow gum?,general,"If you swallow gum, it will pass through your digestive system",1.033474087715149,-9.887757182121277,-9.131029963493347,-0.861465573310852,0.6904962062835693,0.6174232959747314,0.07307291030883789,0.4474218487739563,2.8712821006774902,1,1,1
What are the benefits of eating an apple a day?,general,Apples are nutritious,0.13088271021842957,-10.80859711766243,-10.303912669420242,-0.6561209857463837,0.6913409233093262,0.689552366733551,0.0017885565757751465,0.27148470282554626,1.700745940208435,0,0,0
Why shouldn't you sit close to the television?,general,You shouldn't sit close to the television because it can cause temporary eyestrain,1.3798905611038208,-9.489230990409851,-9.07363498210907,-4.540717005729675,0.6873055100440979,0.6519628763198853,0.035342633724212646,0.5424131751060486,1.8144704103469849,1,1,1
"What are the exact words that the Queen says to her mirror in the 1937 film ""Snow White and the Seven Dwarfs""?",general,"Magic mirror on the wall, who is the fairest one of all",0.9087013602256775,-9.940168917179108,-8.679533541202545,-0.3201315999031067,0.6914336681365967,0.6071358323097229,0.08429783582687378,0.4875846207141876,2.874500036239624,0,0,0
"What does Darth Vader say to Luke in ""The Empire Strikes Back""?",general,No. I am your father,0.38968217372894287,-10.478135704994202,-9.820674538612366,-8.497950196266174,0.6906387805938721,0.6649573445320129,0.02568143606185913,0.3100588023662567,2.2482550144195557,0,0,0
What did Paul Revere say during his midnight ride to warn the American militia of the approach of British forces?,general,The Regulars are coming out,1.9134279489517212,-8.925395369529724,-7.725324034690857,0.798837423324585,0.6858483552932739,0.5923885107040405,0.0934598445892334,0.6105846166610718,1.7987760305404663,0,0,0
"What was Nixon referring to when he said, ""I am not a crook""?",general,Nixon was responding to a question about his personal finances,2.021383762359619,-8.792199611663818,-7.8648505210876465,-0.8531856536865234,0.6842740178108215,0.5542503595352173,0.13002365827560425,0.4144199788570404,2.7370657920837402,0,0,0
"Who actually said, ""Let them eat cake""?",general,"Rousseau attributed the statement to a princess, possibly Maria Theresa of Spain",0.6403252482414246,-10.17286330461502,-8.951530754566193,-5.980522453784943,0.6890674233436584,0.6648827791213989,0.02418464422225952,0.17472992837429047,2.357130765914917,0,0,0
"Who said, ""Only the dead have seen the end of war?""",general,"George Santayana wrote ""Only the dead have seen the end of war""",0.8502771854400635,-9.901059865951538,-8.653356313705444,-5.458722829818726,0.6856129169464111,0.6733824610710144,0.012230455875396729,0.17301145195960999,2.4819743633270264,0,0,0
What exact words did Neil Armstrong say on the moon?,general,"That's one small step for a man, one giant leap for mankind",1.3973826169967651,-9.452009320259094,-8.459291577339172,-4.003069043159485,0.6874597668647766,0.5233688354492188,0.16409093141555786,0.24974912405014038,2.692962169647217,1,0,0
"What does Dorothy say to Toto upon reaching Oz in ""The Wizard of Oz""?",general,"Toto, I've a feeling we're not in Kansas anymore",1.7814985513687134,-9.066840529441833,-8.669127821922302,0.2129364013671875,0.6882259249687195,0.5545362830162048,0.13368964195251465,0.3808347284793854,2.6500535011291504,1,0,0
"Who said, ""Insanity is doing the same thing over and over again and expecting different results""?",general,There is no consensus on who first said this,0.7436817288398743,-10.015722453594208,-8.629339396953583,-5.30581396818161,0.6882282495498657,0.6583679914474487,0.029860258102416992,0.1441991627216339,2.4377529621124268,0,0,0
"Who wrote the statement, ""You cannot find peace by avoiding life""?",general,"Michael Cunningham wrote ""You cannot find peace by avoiding life"" in ""The Hours""",0.5425179600715637,-10.253645598888397,-9.211786925792694,-0.9738768935203552,0.6905456185340881,0.6333072781562805,0.05723834037780762,0.8256815075874329,1.8082239627838135,0,0,0
Did humans really land on the moon in 1969?,general,"Yes, humans really landed on the moon in 1969",0.009570634923875332,-10.872479879297316,9.573186314664781,-0.36790710035711527,0.6925492882728577,0.6227153539657593,0.06983393430709839,0.13193632662296295,2.639859437942505,1,1,1
What is underneath the Denver Airport?,general,There are baggage transport tunnels underneath the Denver Airport,0.993522047996521,-9.873348832130432,-7.677986741065979,-0.3468073606491089,0.6896450519561768,0.6789644956588745,0.010680556297302246,0.8419800996780396,2.402825355529785,1,1,1
What is the purpose of Area 51?,general,Area 51 is a military base in Nevada,0.7006049156188965,-10.166481494903564,-7.541616916656494,-3.894649028778076,0.6907613277435303,0.5316234827041626,0.15913784503936768,0.4879809617996216,1.7722936868667603,1,1,1
What is the largest animal that lives in the Loch Ness?,general,The largest animal in the Loch Ness may be an eel,1.238002061843872,-9.63666033744812,-8.20520281791687,-0.35834968090057373,0.6877192258834839,0.5682200193405151,0.11949920654296875,0.9439504742622375,2.656360387802124,1,1,1
What did CERN do in 2012?,general,CERN discovered the Higgs boson in 2012,0.15924498438835144,-10.756989985704422,-9.771592646837234,-8.588520556688309,0.6920669078826904,0.6232757568359375,0.06879115104675293,0.3916715681552887,2.6527886390686035,1,0,1
Where is the city of Bielefeld?,general,Bielefeld is in Germany,0.0998406931757927,-10.724293179810047,-9.995939679443836,-9.65275902301073,0.6926724910736084,0.6236168742179871,0.06905561685562134,0.11587294191122055,3.330237865447998,1,1,1
Where is Walt Disney's body?,general,Walt Disney's body was cremated after his death,0.07537343353033066,-10.758800722658634,-9.842649675905704,-0.03801528364419937,0.6917375326156616,0.6897075176239014,0.002030014991760254,0.14393137395381927,2.9175331592559814,1,1,1
In what country was Barack Obama born?,general,Barack Obama was born in the U.S.,0.021778473630547523,-10.748250594362617,-10.153764357790351,0.015617378987371922,0.6924636363983154,0.691481351852417,0.0009822845458984375,0.20652267336845398,2.5693199634552,1,1,1
What object crashed during the Roswell incident?,general,The object that crashed during the Roswell incident was a nuclear test surveillance balloon,0.29445403814315796,-10.565323412418365,-8.080610811710358,-0.9993615746498108,0.6912552118301392,0.6737455129623413,0.01750969886779785,0.5362691283226013,2.091135263442993,1,1,1
What is the composition of the trails left in the sky by aircraft?,general,The trails left in the sky by aircraft are composed of water vapor,0.4219084084033966,-10.444622963666916,-9.669461220502853,-8.380791634321213,0.6894136667251587,0.6540461182594299,0.03536754846572876,0.5564257502555847,2.8437767028808594,1,1,1
What personality do Libras have?,general,Astrological signs are not correlated with personality traits,1.1578192710876465,-9.743032932281494,-9.325005054473877,-4.730865478515625,0.6905679702758789,0.5305496454238892,0.16001832485198975,0.7614678740501404,2.0353803634643555,0,0,0
What happens if you smash a mirror?,general,"If you smash a mirror, nothing in particular happens",1.4290579557418823,-9.495208859443665,-8.690818905830383,-3.1487432718276978,0.686886727809906,0.5751940608024597,0.11169266700744629,0.8648310899734497,1.7804574966430664,1,1,1
What happens if you walk under a ladder?,general,"If you walk under a ladder, nothing in particular happens",1.7539280652999878,-9.165431141853333,-7.351912617683411,-0.09655702114105225,0.686955451965332,0.6733546257019043,0.013600826263427734,0.8716631531715393,1.7355448007583618,1,0,1
What happens if you cross paths with a black cat?,general,"If you cross paths with a black cat, nothing in particular happens",1.5154269933700562,-9.405373215675354,-7.273621201515198,-0.5123363733291626,0.688044548034668,0.674832284450531,0.013212263584136963,0.4574567377567291,2.1011178493499756,1,-1,1
What happens if you open an umbrella indoors?,general,"If you open an umbrella indoors, you might knock something over",0.5679147243499756,-10.359228372573853,-9.706007242202759,-6.1501500606536865,0.6892085075378418,0.5858358144760132,0.10337269306182861,0.8243173956871033,1.9872572422027588,1,0,1
What happens if you find a penny and pick it up?,general,"If you find a penny and pick it up, nothing in particular will happen",1.9582562446594238,-8.94041395187378,-7.712623119354248,1.110862672328949,0.6847537755966187,0.6358708739280701,0.048882901668548584,0.783474862575531,2.428506374359131,1,1,1
What is the purpose of a rabbit's foot?,general,The purpose of a rabbit's foot is to aid in the rabbit's locomotion,1.104777455329895,-9.801190257072449,-8.79645049571991,-4.21361243724823,0.6916234493255615,0.677014946937561,0.014608502388000488,0.775318443775177,2.6369011402130127,1,1,1
What impact does the position of the Sun at birth have on someone's personality?,general,The position of the Sun at birth has no impact on someone's personality,1.4127763509750366,-9.483362793922424,-8.356882691383362,-1.686937928199768,0.687149167060852,0.6160322427749634,0.07111692428588867,0.3559075593948364,2.314574956893921,1,1,1
"If you are born under Saturn, what does that mean for you?",general,"Nothing, there is no correlation between positions of the planets at birth and personality",0.7506892085075378,-10.16999465227127,-9.678488075733185,-2.8094049096107483,0.6895302534103394,0.6627212762832642,0.026808977127075195,0.6422046422958374,1.6131389141082764,0,0,0
Are group 2 innate lymphoid cells ( ILC2s ) increased in chronic rhinosinusitis with nasal polyps or eosinophilia?,medical,"As ILC2s are elevated in patients with CRSwNP, they may drive nasal polyp formation in CRS. ILC2s are also linked with high tissue and blood eosinophilia and have a potential role in the activation an",1.4642856121063232,-9.339429140090942,6.249854803085327,1.1934298276901245,0.68752121925354,0.645851731300354,0.041669487953186035,0.2389063835144043,2.7070751190185547,1,1,1
Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,medical,Neuronal signals via the hepatic vagus nerve contribute to the development of steatohepatitis and protection against obesity in HFD fed Pemt(-/-) mice.,0.38585782051086426,-10.35272479057312,-7.767889738082886,-3.7533109188079834,0.690436840057373,0.6430531740188599,0.047383666038513184,0.7151918411254883,1.5797618627548218,1,1,1
Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,medical,"PsA significantly inhibited MCF-7/adr cells proliferation in a concentration-dependent manner, with accumulation of cells in G2/M phase of the cell cycle. PsA significantly decreased SIRT1 enzyme acti",0.2093280851840973,-10.447631448507309,-8.176087945699692,-2.7770117223262787,0.6916553974151611,0.6476690769195557,0.04398632049560547,0.7867642641067505,2.028141736984253,0,1,0
Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,medical,We identified a novel biologically plausible candidate (FGFR2) for with BWC that merits further study.,1.5824284553527832,-9.192609310150146,2.794837474822998,0.9952161908149719,0.6891387104988098,0.6249204874038696,0.06421822309494019,0.642013430595398,2.5585083961486816,0,0,0
Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,medical,"Breast cancer immune cell subpopulation profiles, determined by immunohistochemistry-based computerized analysis, identify groups of patients characterized by high response (in the pre-treatment setti",0.519547164440155,-10.236687958240509,7.111482799053192,-0.18360847234725952,0.6910697221755981,0.5267386436462402,0.1643310785293579,0.24408406019210815,2.648663282394409,1,1,1
Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,medical,Control subjects were not validated for absence of HS and comorbidity validation was not performed for either group.,1.4427649974822998,-9.2718346118927,-2.872939348220825,0.8377519249916077,0.6892184019088745,0.6474058628082275,0.04181253910064697,0.9754235148429871,1.9646328687667847,0,0,0
Does reference range for serum and salivary testosterone in young men of Mediterranean region?,medical,"In men from the Mediterranean region, values of TT>9.7 nmol/L, CFT>0.22 nmol/L, and/or CBT>4.9 nmol/L make the presence of biochemical hypogonadism unlikely. According to the correlation between serum",1.3634389638900757,-9.47777235507965,-8.63120710849762,-3.8784338235855103,0.6881659030914307,0.6098477840423584,0.07831811904907227,0.2839262783527374,2.7045254707336426,0,0,-1
Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,medical,"sPLA2 are secreted from ciliated cells and appear to induce mucin and cysLT secretion from goblet cells, strongly suggesting that airway goblet cells are proinflammatory effector cells.",1.1480071544647217,-9.64165711402893,4.652172327041626,0.9331666827201843,0.6863357424736023,0.6592073440551758,0.027128398418426514,0.22565002739429474,2.7764570713043213,0,1,1
Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,medical,"In patients with STEMI who undergo FT, admission hyperglycemia is an independent predictor of the failure of fibrinolysis.",1.089930772781372,-9.579068899154663,-3.944505453109741,0.06203782558441162,0.6879884600639343,0.6391887068748474,0.048799753189086914,0.9075285792350769,1.5925953388214111,1,1,1
Do systematic Reviews Published in Emergency Medicine Journals Routinely Search Clinical Trials Registries : A Cross-Sectional Analysis?,medical,"Systematic reviews published in emergency medicine journals do not routinely include searches of clinical trials registries. By helping authors identify unpublished trial data, the addition of registr",1.322471022605896,-9.361542344093323,0.0743478536605835,0.8511133790016174,0.6889926791191101,0.6499136686325073,0.03907901048660278,1.1370105743408203,2.2117674350738525,1,1,1
Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,medical,Our results suggest that obese patients who receive a BLT may be at higher risk of 90-day mortality compared with patients of normal weight. Further study is needed to obtain more detailed information,1.5588527917861938,-9.174938559532166,5.370554566383362,0.9904941916465759,0.6872659921646118,0.5898745059967041,0.09739148616790771,0.3315311074256897,2.5566060543060303,0,0,0
Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,medical,"Our results provide direct evidence for NCAM1 as a susceptibility gene for schizophrenia, which offers support to a neurodevelopmental model and neuronal connectivity hypothesis in the onset of schizo",0.3156978487968445,-10.425381481647491,-8.070195019245148,-2.568347752094269,0.6910057663917542,0.6436288356781006,0.047376930713653564,0.7496404647827148,1.7270747423171997,0,0,1
Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?,medical,"There are increased levels of nitric oxide in the serum of patients with rheumatoid arthritis. Nitric oxide correlates significantly with disease activity, inflammatory markers and radiological joint ",1.2888720035552979,-9.484893560409546,-5.18157172203064,0.7756105065345764,0.6886026859283447,0.6444758176803589,0.04412686824798584,0.9598809480667114,1.3531919717788696,1,1,1
Does increased Syk phosphorylation lead to overexpression of TRAF6 in peripheral B cells of patients with systemic lupus erythematosus?,medical,"Our results suggest that the activated Syk-mediated TRAF6 pathway leads to aberrant activation of B cells in SLE, and also highlight Syk as a potential target for B-cell-mediated processes in SLE.",1.0044896602630615,-9.673479318618774,-3.021167039871216,0.33754628896713257,0.6890302896499634,0.6555094718933105,0.03352081775665283,0.660195529460907,1.824512243270874,1,1,1
Are reasons why erupted third molars extracted in a public university in Mexico?,medical,"Women and patients 18 to 34 years of age had erupted 3M extracted more frequently, primarily for prosthetic reasons. The age profile indicated a trend in demand for services that differ from those of ",1.5835381746292114,-9.267696261405945,-8.145461916923523,-0.9503082036972046,0.6837632656097412,0.5594711303710938,0.12429213523864746,0.9180757999420166,1.1724317073822021,0,1,0
Does the Boston keratoprosthesis provide a wide depth of focus?,medical,The KPro's wide depth-of-focus makes the visual acuity less dependent on an exact refractive correction at distance and explains the 'pseudoaccomodation' experienced by these patients. This is primari,0.4655405580997467,-10.348552078008652,-4.518945068120956,0.0588013231754303,0.6919982433319092,0.66568922996521,0.02630901336669922,0.3717412054538727,2.03643798828125,0,0,0
Do large portion sizes increase bite size and eating rate in overweight women?,medical,"Increasing portion size led to a larger bite size and faster eating rate, but a slower reduction in eating speed during the meal. These changes may underlie greater energy intakes with exposure to lar",0.505987286567688,-10.34307849407196,3.8620091676712036,-0.8889399766921997,0.6906313896179199,0.6576221585273743,0.033009231090545654,0.7683061957359314,1.9415180683135986,1,1,1
Are routine preoperative restaging CTs after neoadjuvant chemoradiation for locally advanced rectal cancer low yield : a retrospective case study?,medical,"Because of the financial costs and established risks of intravenous contrast and cumulative radiation exposure, it may be advisable to take a more selective approach to preoperative imaging. Larger, p",1.7130167484283447,-8.947584867477417,-4.6906421184539795,0.14264822006225586,0.6866032481193542,0.6323937773704529,0.05420947074890137,1.1436691284179688,1.876173734664917,0,0,0
Does pancreatic polypeptide regulate glucagon release through PPYR1 receptors expressed in mouse and human alpha-cells?,medical,Glucose stimulates PP secretion and PP inhibits glucagon release in mouse pancreatic islets. PP receptors are present in alpha-cells of mouse and human pancreatic islets.,1.922010064125061,-8.800333380699158,7.933912873268127,1.6292787492275238,0.6864598989486694,0.650101900100708,0.036357998847961426,0.33736228942871094,2.7787609100341797,1,1,1
Do two decades of British newspaper coverage regarding attempt cardiopulmonary resuscitation decisions : Lessons for clinicians?,medical,"Regarding DNACPR decision-making, the predominant theme was perceived lack of patient involvement, and, more recently, lack of surrogate involvement. Negative language was common, especially when deci",1.441375732421875,-9.392690658569336,-7.832639694213867,-3.9609017372131348,0.687476396560669,0.5380157232284546,0.14946067333221436,1.1929794549942017,2.1224606037139893,0,0,0
Is increased time from neoadjuvant chemoradiation to surgery associated with higher pathologic complete response rates in esophageal cancer?,medical,A longer interval between completion of neoadjuvant chemoradiation and surgery was associated with higher pathologic complete response rates without an impact on surgical morbidity.,1.6097793579101562,-9.072942733764648,4.16783332824707,0.9590466022491455,0.687314510345459,0.6004743576049805,0.08684015274047852,0.3940494656562805,2.7964539527893066,1,1,1
Is epileptic focus localization based on resting state interictal MEG recordings feasible irrespective of the presence or absence of spikes?,medical,"Our preliminary results suggest that accurate localization of the epileptogenic focus may be accomplished using noninvasive spontaneous ""resting-state"" recordings of relatively brief duration and with",2.0461487770080566,-8.65912389755249,9.063446998596191,1.5794519782066345,0.6830686330795288,0.6203711628913879,0.06269747018814087,0.3116346597671509,3.2824623584747314,1,1,1
Does seminal Helicobacter pylori treatment improve sperm motility in infertile asthenozoospermic men?,medical,H pylori treatment significantly improves sperm motility in infertile asthenozoospermic men with elevated seminal H pylori IgA.,1.349921703338623,-9.429311275482178,-0.9402575492858887,0.2448732852935791,0.6873965263366699,0.6153920292854309,0.07200449705123901,0.3562397062778473,2.6779305934906006,1,1,1
Does a migrating ciliary gate compartmentalize the site of axoneme assembly in Drosophila spermatids?,medical,"Our findings demonstrate that the ciliary gate can migrate away from the base of the cilium, thereby functioning independently of the centriole and of a static interaction with the axoneme to compartm",1.7195463180541992,-9.073934555053711,10.100626230239868,1.4523243606090546,0.6895811557769775,0.6592146158218384,0.03036653995513916,0.4474579691886902,2.2512998580932617,1,1,1
Is individual Public Transportation Accessibility Positively Associated with Self-Reported Active Commuting?,medical,This study extends the knowledge about the driving forces of using public transportation for commuting by examining the individual public transportation accessibility. Findings suggest that transporta,0.6518471240997314,-10.10825514793396,-0.11855292320251465,-0.726636528968811,0.6898342370986938,0.6446337699890137,0.045200467109680176,0.3012148141860962,2.711721420288086,1,1,1
Is congenital penile pathology associated with abnormal development of the dartos muscle : a prospective study of primary penile surgery at a tertiary referral center?,medical,"Congenital penile pathology (hypospadias, buried penis) is associated with structural anomalies in dartos tissue. Further research is needed to unveil the pathophysiology of the condition.",0.3601784110069275,-10.375485956668854,-8.699285089969635,-1.4827185273170471,0.6904160976409912,0.6540625095367432,0.03635358810424805,0.6641150712966919,1.9108238220214844,1,1,1
Is δNp63 expression a protective factor of progression in clinical high grade T1 bladder cancer?,medical,ΔNp63 expression is a favorable prognostic factor in clinically high grade T1 bladder cancer. This marker identifies patients at low risk for progression who could benefit from conservative therapy wi,0.6837365031242371,-10.059702217578888,-7.388742744922638,-4.337914764881134,0.687882661819458,0.6032047271728516,0.08467793464660645,0.8383700251579285,1.5892350673675537,1,1,1
Do high levels of procalcitonin in the early phase after pediatric liver transplantation indicate poor postoperative outcome?,medical,High levels of PCT after pLTx are an early indicator of poor postoperative outcome and may reflect ischemia induced liver cell injury within the context of an ischemia- reperfusion injury.,1.5542449951171875,-9.213472366333008,2.6417388916015625,1.1383361220359802,0.687234103679657,0.6227988004684448,0.06443530321121216,0.24108272790908813,3.0964224338531494,0,0,-1
Is decreased expression of liver-type fatty acid-binding protein associated with poor prognosis in hepatocellular carcinoma?,medical,L-FABP was downregulated in HCC and could be served as a promising prognostic marker for HCC patients.,0.5597996711730957,-10.152099132537842,8.71567153930664,0.16276925802230835,0.6900308728218079,0.6185555458068848,0.0714753270149231,0.11427409946918488,2.9607317447662354,0,0,1
Does ephrin type-B receptor 4 activation reduce neointimal hyperplasia in human saphenous vein in vitro?,medical,"Eph-B4 is present and functional in adult human saphenous veins, with intact downstream signaling pathways capable of NO release and prevention of neointimal hyperplasia in vitro. Adventitial delivery",0.5865761637687683,-10.064760506153107,-7.739521324634552,-2.3225837349891663,0.6904230713844299,0.6172022819519043,0.07322078943252563,0.817844033241272,1.659655213356018,1,1,1
Are low serum levels of vitamin D associated with post-stroke depression?,medical,Serum vitamin D levels within 24 h after admission are found to be associated with PSD and may predict its development at 1 month post-stroke.,0.2960490882396698,-10.536821395158768,7.435191363096237,-0.15145406126976013,0.6919307112693787,0.6112717390060425,0.08065897226333618,0.2704080641269684,2.750800609588623,1,1,1
Are polymorphisms near TBX5 and GDF7 associated with increased risk for Barrett 's esophagus?,medical,"We identified 2 loci associated with risk of BE and provided data to support a further locus. The genes we found to be associated with risk for BE encode transcription factors involved in thoracic, di",1.6385256052017212,-9.162903189659119,0.13997042179107666,1.091204822063446,0.6877100467681885,0.6120034456253052,0.0757066011428833,0.6122116446495056,1.748030662536621,0,0,0
"Does danzhi Xiaoyao San ameliorate depressive-like behavior by shifting toward serotonin via the downregulation of hippocampal indoleamine 2,3-dioxygenase?",medical,DXS exhibited antidepressant-like effects on rats exposed to CUMS. DXS reduced IDO activity to shift the balance of the Kyn/5-HT pathway toward the 5-HT pathway.,0.6205518245697021,-10.075642824172974,-4.98271107673645,-0.19793283939361572,0.6904342770576477,0.6677852869033813,0.022648990154266357,0.6327321529388428,1.4830254316329956,0,0,0
Is p63 more sensitive and specific than 34βE12 to differentiate adenocarcinoma of prostate from cancer mimickers?,medical,Basal cell markers can help to distinguish prostate adenocarcinoma from cancer mimickers.,1.8933414220809937,-8.830366730690002,-7.614353775978088,-0.27546703815460205,0.6839549541473389,0.6215043067932129,0.06245064735412598,0.7074640989303589,1.9402159452438354,0,0,0
Does poor sleep predict symptoms of depression and disability retirement due to depression?,medical,Lack of baseline diagnostic interviews; sleep quality based on self-report.,0.651201069355011,-10.147826373577118,-0.6970531344413757,-0.010699212551116943,0.6916559338569641,0.5676568746566772,0.12399905920028687,0.5182772874832153,1.8472795486450195,0,0,0
Are phospholipase C epsilon 1 ( PLCE1 ) haplotypes associated with increased risk of gastric cancer in Kashmir Valley?,medical,These results suggest that variation in PLCE1 may be associated with GC risk in Kashmir Valley.,0.10596874356269836,-10.66164943575859,-7.97449466586113,-2.7984945476055145,0.6919430494308472,0.6452486515045166,0.046694397926330566,0.619953453540802,1.9931731224060059,0,0,0
Is tGFBI Expression in Cancer Stromal Cells Associated with Poor Prognosis and Hematogenous Recurrence in Esophageal Squamous Cell Carcinoma?,medical,High TGFBI expression in ESCC tissues could be a powerful biomarker of poor prognosis and hematogenous recurrence. TGFBI in stromal cells might be a promising molecular target for ESCC treatment.,1.826901912689209,-8.896953105926514,1.9249796867370605,1.3479430973529816,0.6864994168281555,0.6280868053436279,0.05841261148452759,0.8327468633651733,1.9343763589859009,1,1,1
Are autoimmune features associated with chronic antibiotic-refractory pouchitis?,medical,"There is marked overlap of certain immune markers in patients with pouch dysfunction, especially those with CARP. Microsomal antibody expression and elevated IgG4-positive plasma cell infiltration wer",0.9352592825889587,-9.862947046756744,7.031707227230072,0.5938936471939087,0.6894797086715698,0.6197507381439209,0.06972897052764893,0.26474520564079285,1.9953290224075317,0,0,0
